id,name,name_fr,type,description,description_fr,prerequisites,prerequisite_feats,benefit,benefit_fr,benefit_short_fr,normal,special,source,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,effects,passive,conditions,external_conditions
9,Acrobatics,Voltigeur,General,"You are skilled at leaping, jumping, and flying.","Le personnage est doué pour bondir, sauter et voltiger.",Ability to cast arcane spells.,0,"You get a +2 bonus on all Acrobatics and Fly skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.","Le personnage obtient un bonus de +2 sur tous ses tests d’Acrobaties et de Vol. Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus de cette compétence passe à +4.",+2 en Acrobaties et Vol (+4 si 10+ rangs),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Acrobatic Steps,Déplacement acrobatique,General,You can easily move over and through obstacles.,Le personnage peut facilement franchir les obstacles.,"Light Armor Proficiency, caster level 3rd.",Nimble Moves,"Whenever you move, you may move through up to 15 feet of difficult terrain each round as if it were normal terrain. The effects of this feat stack with those provided by Nimble Moves (allowing you to move normally through a total of 20 feet of difficult terrain each round).","Quand le personnage se déplace, il peut franchir 4,50 m (3 cases) par round sur un terrain difficile comme s’il s’agissait d’un terrain ordinaire. Les effets de ce don s’ajoutent à ceux accordés par Aisance (don qui permet au personnage de se déplacer normalement sur 6 m (4 cases) par round en terrain difficile).",Ignorer 3 cases supplémentaires de terrain difficile par round,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Agile Maneuvers,Manœuvres agiles,Combat,You've learned to use your quickness in place of brute force when performing combat maneuvers.,"Quand le personnage exécute une manœuvre offensive, il sait utiliser sa rapidité au lieu de recourir à la force brute.","Critical Focus, base attack bonus +15.",0,You add your Dexterity bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus (see Chapter 8) instead of your Strength bonus.,Le personnage ajoute son bonus de Dextérité à son bonus de base à l’attaque et à son bonus de taille quand il s’agit de déterminer son bonus de manœuvre offensive au lieu de son bonus de Force.,Utiliser le bonus de Dextérité au lieu du bonus de Force pour le calcul du BMC,You add your Strength bonus to your base attack bonus and size bonus when determining your Combat Maneuver Bonus.,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alertness,Vigilance,General,You often notice things that others might miss.,Le personnage remarque plus facilement les détails que les autres personnes.,Int 13.,0,"You get a +2 bonus on Perception and Sense Motive skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.","Le personnage obtient un bonus de +2 sur tous ses tests de Perception et de Psychologie. Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente de +4.",+2 Perception et Psychologie (+4 si 10+ rangs),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Alignment Channel,Canalisation alignée,General,"Choose chaos, evil, good, or law. You can channel divine energy to affect outsiders that possess this subtype.","Le personnage choisit le Bien, le Chaos, la Loi ou le Mal. Il peut canaliser l’énergie divine pour affecter les extérieurs de ce sous-type.",Caster level 5th.,0,"Instead of its normal effect, you can choose to have your ability to channel energy heal or harm outsiders of the chosen alignment subtype. You must make this choice each time you channel energy. If you choose to heal or harm creatures of the chosen alignment subtype, your channel energy has no effect on other creatures. The amount of damage healed or dealt and the DC to halve the damage is otherwise unchanged.","L’énergie canalisée par le personnage soigne ou blesse les extérieurs du sous-type choisi au lieu de fonctionner comme à l’accoutumée. Le personnage doit choisir s’il souhaite utiliser ce don ou non à chaque fois qu’il canalise de l’énergie. S’il choisit de soigner ou de blesser une créature de l’alignement en question, cette énergie n’aura aucun effet sur les autres créatures. La quantité de dégâts soignés ou infligés et le DD à battre pour réduire les dégâts de moitié ne changent pas.",Permet d’affecter les Extérieurs d’un sous-type (alignement) donné,0,"You can gain this feat multiple times. Its effects do not stack. Each time you take this feat, it applies to a new alignment subtype. Whenever you channel energy, you must choose which type to effect.",PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Animal Affinity,Fraternité animale,General,You are skilled at working with animals and mounts.,Le personnage est doué avec les animaux et les montures.,Endurance.,0,"You get a +2 bonus on all Handle Animal and Ride skill checks. If you have 10 or more ranks in one of these skills, the bonus increases to +4 for that skill.","Le personnage obtient un bonus de +2 sur tous ses tests de Dressage et d’Équitation. Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente de +4.",+2 en Dressage et Équitation (+4 si 10+ rangs),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Arcane Armor Mastery,Maîtrise de l'armure magique,Combat,You have mastered the ability to cast spells while wearing armor.,Le personnage maîtrise l’art de lancer des sorts en armure.,0,"Arcane Armor Training, Medium Armor Proficiency","As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 20% for any spells you cast this round. This bonus replaces, and does not stack with, the bonus granted by Arcane Armor Training.","Par une action rapide, le personnage réduit les risques d’échec des sorts dus à l’armure de 20% pour tout sort lancé au cours de ce round. Ce bonus remplace celui accordé par le Port de l’armure magique et ne se cumule pas avec lui.",Réduire le pourcentage d’échec des sorts de 20% pendant 1 round (en une action rapide),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Arcane Armor Training,Port de l'armure magique,Combat,You have learned how to cast spells while wearing armor.,Le personnage sait lancer des sorts en armure.,"Critical Focus, Tiring Critical, base attack bonus +15.",Light Armor Proficiency,"As a swift action, reduce the arcane spell failure chance due to the armor you are wearing by 10% for any spells you cast this round.","Par une action rapide, le personnage réduit les risques d’échec des sorts dus à l’armure de 10% pour tout sort lancé au cours de ce round.",Réduire le pourcentage d’échec des sorts de 10% pendant 1 round (en une action rapide),0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Arcane Strike,Frappe magique,Combat,You draw upon your arcane power to enhance your weapons with magical energy.,Le personnage puise dans ses pouvoirs magiques pour améliorer ses armes.,Point-Blank Shot.,0,"As a swift action, you can imbue your weapons with a fraction of your power. For 1 round, your weapons deal +1 damage and are treated as magic for the purpose of overcoming damage reduction. For every five caster levels you possess, this bonus increases by +1, to a maximum of +5 at 20th level.","Par une action rapide, le personnage peut imprégner ses armes d’une partie de son pouvoir. Pendant un round, son arme inflige +1 point de dégâts et on la considère comme magique quand il s’agit de vaincre la réduction de dégâts. Ce bonus augmente de +1 pour chaque tranche de cinq niveaux de lanceur de sorts, avec un maximum de +5 au niveau 20.",Peut rendre toutes ses armes magiques (+1 dégâts) pour 1 round en une action rapide,0,0,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Armor Proficiency, Heavy",Port des armures lourdes,Combat,You are skilled at wearing heavy armor.,Le personnage est formé au port des armures lourdes.,"Shield Focus, Shield Proficiency, 8th-level fighter.","Light Armor Proficiency, Medium Armor Proficiency","See Armor Proficiency, Light.","Voir « Port des armures légères ».
Normal. Voir « Port des armures légères ».",Le personnage peut porter les armures lourdes sans subir de pénalités aux jets d’attaque et à toutes les compétences.,"See Armor Proficiency, Light.",Fighters and paladins automatically have Heavy Armor Proficiency as a bonus feat. They need not select it.,PFRPG Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
