class,class_fr,name,name_fr,description,description_fr
barbarian,Barbare,Weapon and Armor Proficiency,Armes et armures,"A barbarian is proficient with all simple and martial weapons, light armor, medium armor, and shields (except tower shields).","Le barbare est formé au maniement de toutes les armes courantes et de guerre, ainsi qu’au port des armures légères et intermédiaires, et à l’utilisation des boucliers (à l’exception des pavois)."
barbarian,Barbare,Fast Movement (Ex),Déplacement accéléré (Ext),"A barbarian's land speed is faster than the norm for her race by +10 feet. This benefit applies only when she is wearing no armor, light armor, or medium armor, and not carrying a heavy load. Apply this bonus before modifying the barbarian's speed because of any load carried or armor worn. This bonus stacks with any other bonuses to the barbarian's land speed.","La vitesse de déplacement au sol d’un barbare est supérieure de 3 m (2 cases) à la vitesse normale de sa race. Cet avantage s’applique uniquement lorsque le barbare ne porte aucune armure, une armure légère ou une armure intermédiaire et qu’il ne transporte pas de charge lourde. Le bonus s’applique avant le calcul de la vitesse du barbare en fonction de la charge transportée ou de l’armure portée, et il se cumule avec tous les autres bonus à la vitesse de déplacement au sol."
barbarian,Barbare,Rage (Ex),Rage de berserker (Ext),"A barbarian can call upon inner reserves of strength and ferocity, granting her additional combat prowess. Starting at 1st level, a barbarian can rage for a number of rounds per day equal to 4 + her Constitution modifier. At each level after 1st, she can rage for 2 additional rounds. Temporary increases to Constitution, such as those gained from rage and spells like bear's endurance, do not increase the total number of rounds that a barbarian can rage per day. A barbarian can enter rage as a free action. The total number of rounds of rage per day is renewed after resting for 8 hours, although these hours do not need to be consecutive.While in rage, a barbarian gains a +4 morale bonus to her Strength and Constitution, as well as a +2 morale bonus on Will saves. In addition, she takes a –2 penalty to Armor Class. The increase to Constitution grants the barbarian 2 hit points per Hit Dice, but these disappear when the rage ends and are not lost first like temporary hit points. While in rage, a barbarian cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration.A barbarian can end her rage as a free action and is fatigued after rage for a number of rounds equal to 2 times the number of rounds spent in the rage. A barbarian cannot enter a new rage while fatigued or exhausted but can otherwise enter rage multiple times during a single encounter or combat. If a barbarian falls unconscious, her rage immediately ends, placing her in peril of death.","Le barbare peut faire appel à des réserves intérieures de force et de férocité qui augmentent sa puissance au combat. Dès le niveau 1, un barbare peut entrer en rage chaque jour pendant un nombre de rounds égal à 4 + son modificateur de Constitution. Ce nombre augmente de +2 à chaque niveau de barbare après le premier. Les accroissements temporaires de la Constitution (comme ceux qui proviennent de la rage ou de sorts comme endurance de l’ours) ne modifient pas le nombre total de rounds de rage par jour. Un barbare peut entrer en rage par une action libre. Le quota de rounds de rage par jour est renouvelé après un repos de huit heures (ces heures ne doivent pas forcément être consécutives).
Lorsqu’il est en rage, un barbare bénéficie d’un bonus de moral de +4 à la Force et à la Constitution ainsi que d’un bonus de moral de +2 aux jets de Volonté. Il subit également un malus de -2 à sa classe d’armure. Cette augmentation de la Constitution donne au barbare 2 points de vie supplémentaires par dé de vie mais ceux-ci disparaissent dès que la rage se termine (contrairement aux points de vie temporaires, qui disparaissent en premier). Lorsqu’il est en rage, un barbare ne peut pas utiliser de compétence basée sur le Charisme, la Dextérité ou l’Intelligence (à l’exception des compétences Acrobaties, Équitation, Intimidation et Vol) ni de capacités nécessitant de la patience ou de la concentration.
Le barbare peut mettre fin à sa rage par une action libre. Il est alors fatigué pendant un nombre de rounds égal au double du nombre de rounds passés en rage. Le barbare ne peut entrer à nouveau en rage tant qu’il est fatigué ou épuisé mais, tant que cette restriction est respectée, il peut entrer en rage plusieurs fois au cours d’une même rencontre ou d’un même combat. Si le barbare tombe inconscient, sa rage se termine immédiatement (ce qui peut se révéler mortel)."
barbarian,Barbare,Rage Powers (Ex),Pouvoirs de rage (Ext),"As a barbarian gains levels, she learns to use her rage in new ways. Starting at 2nd level, a barbarian gains a rage power. She gains another rage power for every two levels of barbarian attained after 2nd level. A barbarian gains the benefits of rage powers only while raging, and some of these powers require the barbarian to take an action first. Unless otherwise noted, a barbarian cannot select an individual power more than once.Animal Fury (Ex): While raging, the barbarian gains a bite attack. If used as part of a full attack action, the bite attack is made at the barbarian's full base attack bonus –5. If the bite hits, it deals 1d4 points of damage (assuming the barbarian is Medium; 1d3 points of damage if Small) plus half the barbarian's Strength modifier. A barbarian can make a bite attack as part of the action to maintain or break free from a grapple. This attack is resolved before the grapple check is made. If the bite attack hits, any grapple checks made by the barbarian against the target this round are at a +2 bonus.Clear Mind (Ex): A barbarian may reroll a failed Will save. This power is used as an immediate action after the first save is attempted, but before the results are revealed by the GM. The barbarian must take the second result, even if it is worse. A barbarian must be at least 8th level before selecting this power. This power can only be used once per rage.Fearless Rage (Ex): While raging, the barbarian is immune to the shaken and frightened conditions. A barbarian must be at least 12th level before selecting this rage power.Guarded Stance (Ex): The barbarian gains a +1 dodge bonus to her Armor Class against melee attacks for a number of rounds equal to the barbarian's current Constitution modifier (minimum 1). This bonus increases by +1 for every 6 levels the barbarian has attained. Activating this ability is a move action that does not provoke an attack of opportunity.Increased Damage Reduction (Ex): The barbarian's damage reduction increases by 1/—. This increase is always active while the barbarian is raging. A barbarian can select this rage power up to three times. Its effects stack. A barbarian must be at least 8th level before selecting this rage power.Internal Fortitude (Ex): While raging, the barbarian is immune to the sickened and nauseated conditions. A barbarian must be at least 8th level before selecting this rage power.Intimidating Glare (Ex): The barbarian can make an Intimidate check against one adjacent foe as a move action. If the barbarian successfully demoralizes her opponent, the foe is shaken for 1d4 rounds + 1 round for every 5 points by which the barbarian's check exceeds the DC.Knockback (Ex): Once per round, the barbarian can make a bull rush attempt against one target in place of a melee attack. If successful, the target takes damage equal to the barbarian's Strength modifier and is moved back as normal. The barbarian does not need to move with the target if successful. This does not provoke an attack of opportunity.Low-Light Vision (Ex): The barbarian's senses sharpen and she gains low-light vision while raging.Mighty Swing (Ex): The barbarian automatically confirms a critical hit. This power is used as an immediate action once a critical threat has been determined. A barbarian must be at least 12th level before selecting this power. This power can only be used once per rage.Moment of Clarity (Ex): The barbarian does not gain any benefits or take any of the penalties from rage for 1 round. Activating this power is a swift action. This includes the penalty to Armor Class and the restriction on what actions can be performed. This round still counts against her total number of rounds of rage per day. This power can only be used once per rage.Night Vision (Ex): The barbarian's senses grow incredibly sharp while raging and she gains darkvision 60 feet. A barbarian must have low-light vision as a rage power or a racial trait to select this rage power.No Escape (Ex): The barbarian can move up to double her normal speed as an immediate action but she can only use this ability when an adjacent foe uses a withdraw action to move away from her. She must end her movement adjacent to the enemy that used the withdraw action. The barbarian provokes attacks of opportunity as normal during this movement. This power can only be used once per rage.Powerful Blow (Ex): The barbarian gains a +1 bonus on a single damage roll. This bonus increases by +1 for every 4 levels the barbarian has attained. This power is used as a swift action before the roll to hit is made. This power can only be used once per rage.Quick Reflexes (Ex): While raging, the barbarian can make one additional attack of opportunity per round.Raging Climber (Ex): When raging, the barbarian adds her level as an enhancement bonus on all Climb skill checks.Raging Leaper (Ex): When raging, the barbarian adds her level as an enhancement bonus on all Acrobatics skill checks made to jump. When making a jump in this way, the barbarian is always considered to have a running start.Raging Swimmer (Ex): When raging, the barbarian adds her level as an enhancement bonus on all Swim skill checks.Renewed Vigor (Ex): As a standard action, the barbarian heals 1d8 points of damage + her Constitution modifier. For every four levels the barbarian has attained above 4th, this amount of damage healed increases by 1d8, to a maximum of 5d8 at 20th level. A barbarian must be at least 4th level before selecting this power. This power can be used only once per day and only while raging.Rolling Dodge (Ex): The barbarian gains a +1 dodge bonus to her Armor Class against ranged attacks for a number of rounds equal to the barbarian's current Constitution modifier (minimum 1). This bonus increases by +1 for every 6 levels the barbarian has attained. Activating this ability is a move action that does not provoke an attack of opportunity.Roused Anger (Ex): The barbarian may enter a rage even if fatigued. While raging after using this ability, the barbarian is immune to the fatigued condition. Once this rage ends, the barbarian is exhausted for 10 minutes per round spent raging.Scent (Ex): The barbarian gains the scent ability while raging and can use this ability to locate unseen foes (see Special Abilities for rules on the scent ability).Strength Surge (Ex): The barbarian adds her barbarian level on one Strength check or combat maneuver check, or to her Combat Maneuver Defense when an opponent attempts a maneuver against her. This power is used as an immediate action. This power can only be used once per rage.Superstition (Ex): The barbarian gains a +2 morale bonus on saving throws made to resist spells, supernatural abilities, and spell-like abilities. This bonus increases by +1 for every 4 levels the barbarian has attained. While raging, the barbarian cannot be a willing target of any spell and must make saving throws to resist all spells, even those cast by allies.Surprise Accuracy (Ex): The barbarian gains a +1 morale bonus on one attack roll. This bonus increases by +1 for every 4 levels the barbarian has attained. This power is used as a swift action before the roll to hit is made. This power can only be used once per rage.Swift Foot (Ex): The barbarian gains a 5-foot enhancement bonus to her speed. This increase is always active while the barbarian is raging. A barbarian can select this rage power up to three times. Its effects stack.Terrifying Howl (Ex): The barbarian unleashes a terrifying howl as a standard action. All shaken enemies within 30 feet must make a Will save (DC equal to 10 + 1/2 the barbarian's level + the barbarian's Strength modifier) or be panicked for 1d4+1 rounds. Once an enemy has made a save versus terrifying howl (successful or not), it is immune to this power for 24 hours. A barbarian must have the intimidating glare rage power to select this rage power. A barbarian must be at least 8th level before selecting this power.Unexpected Strike (Ex): The barbarian can make an attack of opportunity against a foe that moves into any square threatened by the barbarian, regardless of whether or not that movement would normally provoke an attack of opportunity. This power can only be used once per rage. A barbarian must be at least 8th level before selecting this power.","En gagnant des niveaux, un barbare apprend à canaliser sa rage sous diverses formes. Le barbare gagne un pouvoir de rage au niveau 2 et un autre pouvoir tous les deux niveaux de barbare suivants. Pour bénéficier des avantages octroyés par ses pouvoirs de rage, le barbare doit être en rage. Certains pouvoirs nécessitent également une action spécifique. Sauf mention contraire, un barbare ne peut pas choisir le même pouvoir de rage plus d’une fois.
Voir la liste des pouvoirs de rage."
barbarian,Barbare,Uncanny Dodge (Ex),Esquive instinctive (Ext),"At 2nd level, a barbarian gains the ability to react to danger before her senses would normally allow her to do so. She cannot be caught flat-footed, even if the attacker is invisible. She still loses her Dexterity bonus to AC if immobilized. A barbarian with this ability can still lose her Dexterity bonus to AC if an opponent successfully uses the feint action against her.If a barbarian already has uncanny dodge from a different class, she automatically gains improved uncanny dodge (see below) instead.","Au niveau 2, le barbare gagne la capacité de réagir aux dangers avant même que ses sens les perçoivent. Il ne peut pas être pris au dépourvu et, de plus, il conserve son bonus de Dextérité à la classe d’armure lorsqu’il est attaqué par un adversaire invisible. La règle normale s’applique cependant lorsqu’il est immobilisé : dans ce cas, il perd son bonus de Dextérité à la classe d’armure. Un barbare disposant de cette capacité perd également son bonus de Dextérité à la classe d’armure si un adversaire parvient à réaliser une feinte en combat à son encontre.
Si un barbare possède déjà la capacité d’esquive instinctive (grâce à une autre classe par exemple), il gagne la capacité d’esquive instinctive supérieure."
barbarian,Barbare,Trap Sense (Ex),Sens des pièges (Ext),"At 3rd level, a barbarian gains a +1 bonus on Reflex saves made to avoid traps and a +1 dodge bonus to AC against attacks made by traps. These bonuses increase by +1 every three barbarian levels thereafter (6th, 9th, 12th, 15th, and 18th level). Trap sense bonuses gained from multiple classes stack.","Au niveau 3, le barbare gagne un bonus de +1 aux jets de Réflexes destinés à éviter des pièges ainsi qu’un bonus d’esquive de +1 à la classe d’armure contre les attaques provoquées par des pièges. Ces bonus augmentent de +1 tous les trois niveaux par la suite (aux niveaux 6, 9, 12, 15 et 18). Les bonus de sens des pièges provenant de classes différentes se cumulent."
barbarian,Barbare,Improved Uncanny Dodge (Ex),Esquive instinctive supérieure (Ext),"At 5th level and higher, a barbarian can no longer be flanked. This defense denies a rogue the ability to sneak attack the barbarian by flanking her, unless the attacker has at least four more rogue levels than the target has barbarian levels.If a character already has uncanny dodge (see above) from another class, the levels from the classes that grant uncanny dodge stack to determine the minimum rogue level required to flank the character.","À partir du niveau 5, un barbare ne peut plus être pris en tenaille. Un roublard ne peut donc pas utiliser ses capacités pour porter une attaque sournoise contre le barbare en le prenant en tenaille, à moins de posséder au moins quatre niveaux de roublard de plus que le nombre de niveaux de barbare de sa cible.
Si le personnage dispose déjà de la capacité d’esquive instinctive grâce à une autre classe, les niveaux de toutes les classes qui lui donnent cette capacité se cumulent pour déterminer le nombre de niveaux de roublard qu’un attaquant doit posséder pour pouvoir le prendre en tenaille."
barbarian,Barbare,Damage Reduction (Ex),Réduction de dégâts (Ext),"At 7th level, a barbarian gains damage reduction. Subtract 1 from the damage the barbarian takes each time she is dealt damage from a weapon or a natural attack. At 10th level, and every three barbarian levels thereafter (13th, 16th, and 19th level), this damage reduction rises by 1 point. Damage reduction can reduce damage to 0 but not below 0.","Au niveau 7, le barbare gagne une réduction de dégâts. Chaque fois qu’une arme ou qu’une attaque naturelle lui inflige des dégâts, ceux-ci sont réduits de 1. Au niveau 10 et tous les trois niveaux de barbare par la suite (aux niveaux 13, 16 et 19) cette réduction de dégâts augmente de 1 point. Les réductions de dégâts peuvent diminuer la quantité de dégâts jusqu’à 0 mais pas au-delà."
barbarian,Barbare,Greater Rage (Ex),Rage de grand berserker (Ext),"At 11th level, when a barbarian enters rage, the morale bonus to her Strength and Constitution increases to +6 and the morale bonus on her Will saves increases to +3.","À partir du niveau 11, les bonus de moral à la Force et à la Constitution gagnés lorsque le barbare entre en rage passent à +6 et le bonus de moral aux jets de Volonté grimpe à +3."
barbarian,Barbare,Indomitable Will (Ex),Volonté indomptable (Ext),"While in rage, a barbarian of 14th level or higher gains a +4 bonus on Will saves to resist enchantment spells. This bonus stacks with all other modifiers, including the morale bonus on Will saves she also receives during her rage.","Lorsqu’un barbare de niveau 14 ou plus est en rage, il gagne un bonus de +4 aux jets de Volonté contre les sorts d’Enchantement. Ce bonus se cumule avec tous les autres modificateurs, y compris le bonus de moral octroyé par la rage."
